slug,name,start_date,end_date,page_url,distances_km
hyrox-johannesburg,HYROX Johannesburg,2026-11-26,2026-11-29,https://yarisradari.com/yaris/hyrox-johannesburg,8.0
hyrox-singapore,HYROX Singapore,2026-11-26,2026-11-29,https://yarisradari.com/yaris/hyrox-singapore,8.0
hyrox-utrecht,HYROX Utrecht,2026-11-26,2026-11-30,https://yarisradari.com/yaris/hyrox-utrecht,8.0
ultra-trail-kosciuszko-by-utmb,Ultra-Trail Kosciuszko by UTMB,2026-11-26,2026-11-28,https://yarisradari.com/yaris/ultra-trail-kosciuszko-by-utmb,161.0;106.0;50.0;32.0
hoka-chiang-mai-thailand-by-utmb,HOKA Chiang Mai Thailand by UTMB,2026-11-27,2026-12-06,https://yarisradari.com/yaris/hoka-chiang-mai-thailand-by-utmb,173.0;100.0;63.0;57.0;26.0;20.0;17.0;5.0;3.0
hyrox-dubai,HYROX Dubai,2026-11-27,2026-11-28,https://yarisradari.com/yaris/hyrox-dubai,8.0
kar-spor-ida-ultra,Kar Spor İda Ultra,2026-11-28,2026-11-28,https://yarisradari.com/yaris/kar-spor-ida-ultra,105.0;66.0;44.0;29.0
geyik-kosulari,Geyik Koşuları,2026-12-02,2026-12-02,https://yarisradari.com/yaris/geyik-kosulari,28.0;14.0;8.0;6.0;4.0
hyrox-london,HYROX London,2026-12-02,2026-12-06,https://yarisradari.com/yaris/hyrox-london,8.0
hyrox-anaheim,HYROX Anaheim,2026-12-03,2026-12-06,https://yarisradari.com/yaris/hyrox-anaheim,8.0
hyrox-milan,HYROX Milan,2026-12-04,2026-12-06,https://yarisradari.com/yaris/hyrox-milan,8.0
hyrox-sanya,HYROX Sanya,2026-12-05,2026-12-06,https://yarisradari.com/yaris/hyrox-sanya,8.0
gobeklitepe-yari-maratonu,Göbeklitepe Yarı Maratonu,2026-12-06,2026-12-06,https://yarisradari.com/yaris/gobeklitepe-yari-maratonu,
st-nicholas-half-marathon,St Nicholas Half Marathon,2026-12-06,2026-12-06,https://yarisradari.com/yaris/st-nicholas-half-marathon,21.0;12.0;5.0
valencia-maratonu,Valencia Maratonu,2026-12-06,2026-12-06,https://yarisradari.com/yaris/valencia-maratonu,42.0
hyrox-melbourne,HYROX Melbourne,2026-12-09,2026-12-13,https://yarisradari.com/yaris/hyrox-melbourne,8.0
hyrox-nashville,HYROX Nashville,2026-12-09,2026-12-13,https://yarisradari.com/yaris/hyrox-nashville,8.0
hyrox-frankfurt,HYROX Frankfurt,2026-12-10,2026-12-13,https://yarisradari.com/yaris/hyrox-frankfurt,8.0
hyrox-kuala-lumpur,HYROX Kuala Lumpur,2026-12-10,2026-12-13,https://yarisradari.com/yaris/hyrox-kuala-lumpur,8.0
hyrox-stockholm,HYROX Stockholm,2026-12-10,2026-12-13,https://yarisradari.com/yaris/hyrox-stockholm,8.0
oman-by-utmb,Oman by UTMB®,2026-12-10,2026-12-12,https://yarisradari.com/yaris/oman-by-utmb,154.0;103.0;50.0;32.0;21.5
hyrox-paris,HYROX Paris,2026-12-12,2026-12-20,https://yarisradari.com/yaris/hyrox-paris,8.0
eskisehir-yari-maratonu,Eskişehir Uluslararası Yarı Maratonu ve Spor Festivali,2026-12-13,2026-12-13,https://yarisradari.com/yaris/eskisehir-yari-maratonu,21.0;10.0;5.0
uluslararasi-mersin-maratonu,Uluslararası Mersin Maratonu 2026,2026-12-13,2026-12-13,https://yarisradari.com/yaris/uluslararasi-mersin-maratonu,42.0
hyrox-gent,HYROX Gent,2026-12-17,2026-12-20,https://yarisradari.com/yaris/hyrox-gent,8.0
hyrox-vancouver,HYROX Vancouver,2026-12-17,2026-12-20,https://yarisradari.com/yaris/hyrox-vancouver,8.0
hyrox-helsinki,HYROX Helsinki,2026-12-18,2026-12-20,https://yarisradari.com/yaris/hyrox-helsinki,8.0
antalya-ultra,Antalya Ultra,2026-12-24,2026-12-27,https://yarisradari.com/yaris/antalya-ultra,85.0;57.0;33.0;22.0;12.0;5.0
buyuk-ataturk-kosusu,91. Büyük Atatürk Koşusu,2026-12-27,,https://yarisradari.com/yaris/buyuk-ataturk-kosusu,10.0
hyrox-hong-kong,HYROX Hong Kong,2027-01-07,2027-01-10,https://yarisradari.com/yaris/hyrox-hong-kong,8.0
vietnam-highlands-trail-by-utmb,Vietnam Highlands Trail by UTMB,2027-01-08,2027-01-10,https://yarisradari.com/yaris/vietnam-highlands-trail-by-utmb,104.2;56.4;24.1;11.3
adana-yari-maratonu,Adana Yarı Maratonu,2027-01-10,2027-01-10,https://yarisradari.com/yaris/adana-yari-maratonu,21.0;10.0
hyrox-noida,HYROX Noida,2027-01-15,2027-01-17,https://yarisradari.com/yaris/hyrox-noida,8.0
hyrox-manchester,HYROX Manchester,2027-01-20,2027-01-31,https://yarisradari.com/yaris/hyrox-manchester,8.0
hyrox-osaka,HYROX Osaka,2027-01-21,2027-01-25,https://yarisradari.com/yaris/hyrox-osaka,8.0
arc-of-attrition-by-utmb,Arc of Attrition by UTMB®,2027-01-22,2027-01-24,https://yarisradari.com/yaris/arc-of-attrition-by-utmb,173.0;82.7;49.4;22.1
hyrox-amsterdam,HYROX Amsterdam,2027-01-22,2027-01-31,https://yarisradari.com/yaris/hyrox-amsterdam,8.0
9-uluslararasi-antalya-oryantiring-gunleri,9. Uluslararası Antalya Oryantiring Günleri,2027-01-25,2027-01-31,https://yarisradari.com/yaris/9-uluslararasi-antalya-oryantiring-gunleri,
hyrox-verona,HYROX Verona,2027-01-28,2027-01-31,https://yarisradari.com/yaris/hyrox-verona,8.0
hyrox-toulouse,HYROX Toulouse,2027-02-03,2027-02-07,https://yarisradari.com/yaris/hyrox-toulouse,8.0
hyrox-auckland,HYROX Auckland,2027-02-04,2027-02-07,https://yarisradari.com/yaris/hyrox-auckland,8.0
hyrox-bilbao,HYROX Bilbao,2027-02-06,2027-02-07,https://yarisradari.com/yaris/hyrox-bilbao,8.0
winter-run-istanbul-v,Winter Run İstanbul V.,2027-02-07,2027-02-07,https://yarisradari.com/yaris/winter-run-istanbul-v,
hyrox-bangkok,HYROX Bangkok,2027-02-11,2027-02-14,https://yarisradari.com/yaris/hyrox-bangkok,8.0
hyrox-chicago,HYROX Chicago,2027-02-11,2027-02-15,https://yarisradari.com/yaris/hyrox-chicago,8.0
hyrox-basel,HYROX Basel,2027-02-12,2027-02-14,https://yarisradari.com/yaris/hyrox-basel,8.0
tarawera-ultra-trail-by-utmb,Tarawera Ultra-Trail by UTMB,2027-02-13,2027-02-14,https://yarisradari.com/yaris/tarawera-ultra-trail-by-utmb,163.0;102.0;52.0;23.0;14.0
hyrox-cancun,HYROX Cancun,2027-02-19,2027-02-21,https://yarisradari.com/yaris/hyrox-cancun,8.0
hyrox-katowice,HYROX Katowice,2027-02-19,2027-02-21,https://yarisradari.com/yaris/hyrox-katowice,8.0
hyrox-vienna,HYROX Vienna,2027-02-19,2027-02-21,https://yarisradari.com/yaris/hyrox-vienna,8.0
hyrox-phoenix,HYROX Phoenix,2027-02-25,2027-02-28,https://yarisradari.com/yaris/hyrox-phoenix,8.0
hyrox-mechelen,HYROX Mechelen,2027-03-03,2027-03-07,https://yarisradari.com/yaris/hyrox-mechelen,8.0
puerto-vallarta-by-utmb,Puerto Vallarta by UTMB®,2027-03-04,2027-03-06,https://yarisradari.com/yaris/puerto-vallarta-by-utmb,81.0;53.0;37.0;20.0;5.0
xtrail-by-utmb,Xtrail by UTMB®,2027-03-05,2027-03-07,https://yarisradari.com/yaris/xtrail-by-utmb,98.0;50.0;26.0;11.0;2.0
tokyo-maratonu,Tokyo Maratonu,2027-03-07,2027-03-07,https://yarisradari.com/yaris/tokyo-maratonu,42.0
hyrox-glasgow,HYROX Glasgow,2027-03-10,2027-03-14,https://yarisradari.com/yaris/hyrox-glasgow,8.0
hyrox-las-vegas,HYROX Las Vegas,2027-03-12,2027-03-14,https://yarisradari.com/yaris/hyrox-las-vegas,8.0
hyrox-taipei,HYROX Taipei,2027-03-12,2027-03-14,https://yarisradari.com/yaris/hyrox-taipei,8.0
hyrox-madrid,HYROX Madrid,2027-03-17,2027-03-21,https://yarisradari.com/yaris/hyrox-madrid,8.0
chianti-ultra-trail-by-utmb,Chianti Ultra Trail by UTMB,2027-03-18,2027-03-21,https://yarisradari.com/yaris/chianti-ultra-trail-by-utmb,123.0;73.0;46.0;20.0;10.0
hyrox-guadalajara,HYROX Guadalajara,2027-03-19,2027-03-21,https://yarisradari.com/yaris/hyrox-guadalajara,8.0
hyrox-buenos-aires,HYROX Buenos Aires,2027-03-20,2027-03-21,https://yarisradari.com/yaris/hyrox-buenos-aires,8.0
47-trabzon-yari-maratonu,47. TRABZON YARI MARATONU,2027-03-21,2027-03-21,https://yarisradari.com/yaris/47-trabzon-yari-maratonu,21.0;10.0
hyrox-copenhagen,HYROX Copenhagen,2027-03-25,2027-03-28,https://yarisradari.com/yaris/hyrox-copenhagen,8.0
hyrox-cape-town,HYROX Cape Town,2027-03-26,2027-03-28,https://yarisradari.com/yaris/hyrox-cape-town,8.0
hyrox-miami-beach,HYROX Miami Beach,2027-03-26,2027-03-28,https://yarisradari.com/yaris/hyrox-miami-beach,8.0
alanya-ultra-trail,ALANYA ULTRA TRAIL,2027-03-27,2027-03-27,https://yarisradari.com/yaris/alanya-ultra-trail,90.0;70.0;50.0;32.0;14.0;6.2
efes-ultra-maratonu,Efes Ultra Maratonu,2027-03-27,2027-03-28,https://yarisradari.com/yaris/efes-ultra-maratonu,120.0;61.0;42.0;27.0;12.0;6.0
hyrox-brisbane,HYROX Brisbane,2027-03-31,2027-04-04,https://yarisradari.com/yaris/hyrox-brisbane,8.0
hyrox-houston,HYROX Houston,2027-04-01,2027-04-04,https://yarisradari.com/yaris/hyrox-houston,8.0
hyrox-rotterdam,HYROX Rotterdam,2027-04-01,2027-04-04,https://yarisradari.com/yaris/hyrox-rotterdam,8.0
istria-100-by-utmb,Istria 100 by UTMB,2027-04-01,2027-04-04,https://yarisradari.com/yaris/istria-100-by-utmb,168.0;111.0;69.6;42.0;21.5
jujuy-los-andes-by-utmb,Jujuy Los Andes by UTMB,2027-04-01,2027-04-04,https://yarisradari.com/yaris/jujuy-los-andes-by-utmb,87.2;50.3;34.0;21.3;11.9;4.5
hyrox-bari,HYROX Bari,2027-04-02,2027-04-04,https://yarisradari.com/yaris/hyrox-bari,8.0
hyrox-warsaw,HYROX Warsaw,2027-04-07,2027-04-11,https://yarisradari.com/yaris/hyrox-warsaw,8.0
desert-rats-trail-running-festival-by-utmb,Desert RATS Trail Running Festival by UTMB,2027-04-08,2027-04-11,https://yarisradari.com/yaris/desert-rats-trail-running-festival-by-utmb,100.0;48.0;21.0;9.0
hyrox-cologne,HYROX Cologne,2027-04-08,2027-04-11,https://yarisradari.com/yaris/hyrox-cologne,8.0
hyrox-paris-grand-palais,HYROX Paris Grand Palais,2027-04-08,2027-04-12,https://yarisradari.com/yaris/hyrox-paris-grand-palais,8.0
tenerife-bluetrail-by-utmb,Tenerife Bluetrail by UTMB®,2027-04-08,2027-04-10,https://yarisradari.com/yaris/tenerife-bluetrail-by-utmb,110.0;82.0;68.0;47.0;24.0;6.5
hiroshima-ultra-trail-by-utmb,Hiroshima Ultra-Trail by UTMB®,2027-04-09,2027-04-11,https://yarisradari.com/yaris/hiroshima-ultra-trail-by-utmb,
paris-maratonu,Paris Maratonu,2027-04-11,2027-04-11,https://yarisradari.com/yaris/paris-maratonu,42.0
hyrox-malaga,HYROX Málaga,2027-04-14,2027-04-18,https://yarisradari.com/yaris/hyrox-malaga,8.0
hyrox-helsinki-2027,HYROX Helsinki,2027-04-16,2027-04-18,https://yarisradari.com/yaris/hyrox-helsinki-2027,8.0
hyrox-monterrey,HYROX Monterrey,2027-04-16,2027-04-18,https://yarisradari.com/yaris/hyrox-monterrey,8.0
hyrox-nagoya,HYROX Nagoya,2027-04-16,2027-04-18,https://yarisradari.com/yaris/hyrox-nagoya,8.0
boston-maratonu,Boston Maratonu,2027-04-19,2027-04-19,https://yarisradari.com/yaris/boston-maratonu,42.0
hyrox-ottawa,HYROX Ottawa,2027-04-21,2027-04-25,https://yarisradari.com/yaris/hyrox-ottawa,8.0
the-canyons-endurance-runs-by-utmb,The Canyons Endurance Runs™ by UTMB®,2027-04-22,2027-04-25,https://yarisradari.com/yaris/the-canyons-endurance-runs-by-utmb,161.0;100.0;50.0;25.0
grand-raid-ventoux-by-utmb,Grand Raid Ventoux by UTMB,2027-04-23,2027-04-25,https://yarisradari.com/yaris/grand-raid-ventoux-by-utmb,125.0;87.0;51.0;26.0
hyrox-atlanta,HYROX Atlanta,2027-04-23,2027-04-25,https://yarisradari.com/yaris/hyrox-atlanta,8.0
londra-maratonu,Londra Maratonu,2027-04-25,2027-04-25,https://yarisradari.com/yaris/londra-maratonu,42.0
oh-meu-deus-by-utmb,Oh Meu Deus by UTMB,2027-04-30,2027-05-02,https://yarisradari.com/yaris/oh-meu-deus-by-utmb,167.0;94.0;52.0;22.0
hyrox-krakow,HYROX Kraków,2027-05-07,2027-05-09,https://yarisradari.com/yaris/hyrox-krakow,8.0
hyrox-sao-paulo-2027,HYROX São Paulo,2027-05-08,2027-05-09,https://yarisradari.com/yaris/hyrox-sao-paulo-2027,8.0
tahtali-run-to-sky,Tahtalı Run to Sky,2027-05-08,2027-05-08,https://yarisradari.com/yaris/tahtali-run-to-sky,43.0;27.0;11.0
x-waters-antalya,X-Waters Antalya,2027-05-08,2027-05-09,https://yarisradari.com/yaris/x-waters-antalya,8.0;4.0;1.6;0.5
hyrox-bengaluru,HYROX Bengaluru,2027-05-12,2027-05-16,https://yarisradari.com/yaris/hyrox-bengaluru,8.0
hyrox-lyon,HYROX Lyon,2027-05-12,2027-05-16,https://yarisradari.com/yaris/hyrox-lyon,8.0
hoka-ultra-trail-australia-by-utmb,HOKA Ultra-Trail Australia by UTMB,2027-05-13,2027-05-16,https://yarisradari.com/yaris/hoka-ultra-trail-australia-by-utmb,161.1;101.0;51.0;22.0;11.4;1.0
hyrox-incheon,HYROX Incheon,2027-05-13,2027-05-16,https://yarisradari.com/yaris/hyrox-incheon,8.0
hyrox-san-diego,HYROX San Diego,2027-05-13,2027-05-16,https://yarisradari.com/yaris/hyrox-san-diego,8.0
trail-alsace-by-utmb,Trail Alsace by UTMB,2027-05-13,2027-05-16,https://yarisradari.com/yaris/trail-alsace-by-utmb,158.0;108.0;47.0;29.0;18.0;10.5
rothrock-by-utmb,Rothrock by UTMB,2027-05-14,2027-05-16,https://yarisradari.com/yaris/rothrock-by-utmb,53.3;26.9
hyrox-cardiff,HYROX Cardiff,2027-05-20,2027-05-29,https://yarisradari.com/yaris/hyrox-cardiff,8.0
hyrox-portland,HYROX Portland,2027-05-21,2027-05-23,https://yarisradari.com/yaris/hyrox-portland,8.0
run-caretta-run,Run caretta run,2027-05-22,2027-05-22,https://yarisradari.com/yaris/run-caretta-run,24.0;10.0;5.0
hyrox-rimini,HYROX Rimini,2027-05-27,2027-05-30,https://yarisradari.com/yaris/hyrox-rimini,8.0
mountain-ultra-trail-by-utmb,Mountain Ultra Trail by UTMB,2027-05-27,2027-05-30,https://yarisradari.com/yaris/mountain-ultra-trail-by-utmb,168.0;100.0;58.0;43.0;25.0;11.9
hyrox-riga,HYROX Riga,2027-05-28,2027-05-30,https://yarisradari.com/yaris/hyrox-riga,8.0
gelibolu-orta-mesafe-triatlon-ve-aquatlon-turkiye-ve-balkan-sampiyonasi,GELİBOLU ORTA MESAFE TRİATLON VE AQUATLON TÜRKİYE ve BALKAN ŞAMPİYONASI,2027-05-29,2027-05-30,https://yarisradari.com/yaris/gelibolu-orta-mesafe-triatlon-ve-aquatlon-turkiye-ve-balkan-sampiyonasi,
ultra-trail-chattanooga-by-utmb,Ultra Trail Chattanooga by UTMB,2027-06-04,2027-06-06,https://yarisradari.com/yaris/ultra-trail-chattanooga-by-utmb,
mozart-100-by-utmb,Mozart 100 by UTMB,2027-06-05,2027-06-05,https://yarisradari.com/yaris/mozart-100-by-utmb,119.0;84.0;44.0;28.0;12.0
hyrox-world-championships-hong-kong,HYROX World Championships Hong Kong,2027-06-10,2027-06-13,https://yarisradari.com/yaris/hyrox-world-championships-hong-kong,8.0
trail-100-andorra-by-utmb,Trail 100 Andorra by UTMB,2027-06-10,2027-06-13,https://yarisradari.com/yaris/trail-100-andorra-by-utmb,105.0;79.0;50.0;24.9;10.0
zugspitz-ultra-trail-by-utmb,Zugspitz Ultra Trail by UTMB,2027-06-17,2027-06-20,https://yarisradari.com/yaris/zugspitz-ultra-trail-by-utmb,167.0;107.0;86.0;68.5;44.0;29.0;16.0
trail-du-saint-jacques-by-utmb,Trail du Saint Jacques by UTMB,2027-06-18,2027-06-20,https://yarisradari.com/yaris/trail-du-saint-jacques-by-utmb,140.0;88.0;55.0;28.0;12.0
la-sportiva-lavaredo-ultra-trail-by-utmb,La Sportiva Lavaredo Ultra Trail by UTMB,2027-06-23,2027-06-27,https://yarisradari.com/yaris/la-sportiva-lavaredo-ultra-trail-by-utmb,120.0;80.0;50.0;20.0;10.0
torrencial-chile-by-utmb,Torrencial Chile by UTMB,2027-06-24,2027-06-27,https://yarisradari.com/yaris/torrencial-chile-by-utmb,101.0;65.0;45.0;20.0;12.0;6.5
hoka-val-d-aran-by-utmb,HOKA Val D'Aran by UTMB®,2027-07-07,2027-07-11,https://yarisradari.com/yaris/hoka-val-d-aran-by-utmb,163.0;110.0;75.0;55.0;32.0;18.0;10.0
restonica-trail-by-utmb,Restonica Trail by UTMB,2027-07-08,2027-07-10,https://yarisradari.com/yaris/restonica-trail-by-utmb,110.0;69.0;33.0;17.0
trail-verbier-st-bernard-by-utmb,Trail Verbier St Bernard by UTMB,2027-07-09,2027-07-11,https://yarisradari.com/yaris/trail-verbier-st-bernard-by-utmb,140.0;77.0;47.0;43.0
eiger-ultra-trail-by-utmb,Eiger Ultra Trail by UTMB,2027-07-14,2027-07-18,https://yarisradari.com/yaris/eiger-ultra-trail-by-utmb,261.0;101.0;51.0;35.0;16.0;15.0
monte-rosa-walserwaeg-by-utmb,Monte Rosa Walserwaeg by UTMB,2027-07-15,2027-07-18,https://yarisradari.com/yaris/monte-rosa-walserwaeg-by-utmb,120.0;82.0;43.0;35.0;15.0;9.0
uludag-premium-ultra-trail-2027,Uludağ Ultra Trail,2027-07-17,2027-07-19,https://yarisradari.com/yaris/uludag-premium-ultra-trail-2027,73.0;44.0;30.0;16.0;6.0
speedgoat-mountain-races-by-utmb,Speedgoat Mountain Races by UTMB,2027-07-22,2027-07-24,https://yarisradari.com/yaris/speedgoat-mountain-races-by-utmb,50.0;31.0;10.0
